SpectraShop	5.0
FILE_DESCRIPTOR	"Supplement to NBS Circular 553. Standard sample No. 2106."
NUMBER_OF_SETS	5
ORIGINATOR	"Robin D. Myers"
CREATED	"2006-04-17"
MANUFACTURER	"ISCC-NBS"
PROD_DATE	"1964"
SPECTRUM_TYPE	"Reflective"
MATERIAL	"Paint"
SURFACE	"Gloss"
INSTRUMENTATION	"Spectrolino"
INSTRUMENT_SERIAL_NUMBER	""
MEASUREMENT_GEOMETRY	"45/0"
MEASUREMENT_SOURCE	"D65"
MEASUREMENT_APERTURE	"4 mm"
MEASUREMENT_FILTER	"D65"
SAMPLE_BACKING	"Black"
NMEASUREMENTS	1
OBSERVER	"2 degree"
ILLUMINANT	"D65"
RGB_SPACE	"sRGB"
NUMBER_OF_FIELDS	75
BEGIN_DATA_FORMAT
SAMPLE_ID1	SAMPLE_ID2	SAMPLE_ID3	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL
END_DATA_FORMAT
BEGIN_DATA
"2"	"strong Pink"	"Red Pink"	
380	2.916000E-1
390	3.271000E-1
400	3.387000E-1
410	3.428000E-1
420	3.399000E-1
430	3.379000E-1
440	3.359000E-1
450	3.338000E-1
460	3.301000E-1
470	3.234000E-1
480	3.142000E-1
490	3.050000E-1
500	2.956000E-1
510	2.863000E-1
520	2.790000E-1
530	2.761000E-1
540	2.788000E-1
550	2.859000E-1
560	2.979000E-1
570	3.287000E-1
580	4.324000E-1
590	5.817000E-1
600	6.934000E-1
610	7.689000E-1
620	8.153000E-1
630	8.379000E-1
640	8.505999E-1
650	8.579000E-1
660	8.633000E-1
670	8.687000E-1
680	8.746000E-1
690	8.777000E-1
700	8.767999E-1
710	8.745000E-1
720	8.673000E-1
730	8.515000E-1
"3"	"deep Pink"	"Red Pink"	
380	7.160000E-2
390	1.171000E-1
400	1.780000E-1
410	2.128000E-1
420	2.172000E-1
430	2.155000E-1
440	2.142000E-1
450	2.129000E-1
460	2.091000E-1
470	2.017000E-1
480	1.919000E-1
490	1.822000E-1
500	1.721000E-1
510	1.614000E-1
520	1.527000E-1
530	1.500000E-1
540	1.526000E-1
550	1.559000E-1
560	1.607000E-1
570	1.815000E-1
580	2.794000E-1
590	4.639000E-1
600	6.372000E-1
610	7.392000E-1
620	7.829000E-1
630	8.005000E-1
640	8.090000E-1
650	8.146999E-1
660	8.199000E-1
670	8.255000E-1
680	8.304000E-1
690	8.329000E-1
700	8.336000E-1
710	8.336999E-1
720	8.236000E-1
730	7.869000E-1
"4"	"light Pink"	"Red Pink"	
380	4.697000E-1
390	5.692000E-1
400	6.070000E-1
410	6.217999E-1
420	6.206000E-1
430	6.188999E-1
440	6.154000E-1
450	6.120999E-1
460	6.080000E-1
470	6.026000E-1
480	5.958000E-1
490	5.910000E-1
500	5.858000E-1
510	5.814000E-1
520	5.803000E-1
530	5.822000E-1
540	5.908000E-1
550	6.084000E-1
560	6.329000E-1
570	6.799999E-1
580	7.693000E-1
590	8.471000E-1
600	8.789000E-1
610	8.913000E-1
620	8.972000E-1
630	8.990000E-1
640	8.990999E-1
650	9.007000E-1
660	9.043000E-1
670	9.076999E-1
680	9.114000E-1
690	9.137000E-1
700	9.159000E-1
710	9.162000E-1
720	9.087000E-1
730	8.918000E-1
"5"	"moderate Pink"	"Red Pink"	
380	8.549999E-2
390	1.517000E-1
400	2.700000E-1
410	3.681000E-1
420	3.947000E-1
430	3.977000E-1
440	3.982000E-1
450	3.986000E-1
460	3.972000E-1
470	3.929000E-1
480	3.863000E-1
490	3.798000E-1
500	3.728000E-1
510	3.682000E-1
520	3.670000E-1
530	3.683000E-1
540	3.743000E-1
550	3.836000E-1
560	3.964000E-1
570	4.279000E-1
580	5.224000E-1
590	6.301000E-1
600	6.809000E-1
610	6.993000E-1
620	7.064000E-1
630	7.097999E-1
640	7.117000E-1
650	7.122000E-1
660	7.151000E-1
670	7.196000E-1
680	7.224000E-1
690	7.239000E-1
700	7.252000E-1
710	7.284000E-1
720	7.169000E-1
730	6.944000E-1
"6"	"dark Pink"	"Red Pink"	
380	7.309999E-2
390	1.216000E-1
400	1.885000E-1
410	2.298000E-1
420	2.372000E-1
430	2.373000E-1
440	2.373000E-1
450	2.380000E-1
460	2.365000E-1
470	2.321000E-1
480	2.253000E-1
490	2.187000E-1
500	2.132000E-1
510	2.118000E-1
520	2.131000E-1
530	2.144000E-1
540	2.172000E-1
550	2.185000E-1
560	2.177000E-1
570	2.301000E-1
580	3.037000E-1
590	4.157000E-1
600	4.850000E-1
610	5.117000E-1
620	5.211999E-1
630	5.233999E-1
640	5.235000E-1
650	5.231000E-1
660	5.238000E-1
670	5.247999E-1
680	5.257000E-1
690	5.256000E-1
700	5.257000E-1
710	5.245000E-1
720	5.195000E-1
730	5.019000E-1
END_DATA
